"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmarks.S.cart_staged_init","avgt",1,20,5.666834,0.541413,"ms/op"
"benchmarks.S.cart_staged_init_fresh_compiler","avgt",1,20,35.652899,0.626314,"ms/op"
"benchmarks.S.cart_staged_macro","avgt",1,20,42.494613,0.314252,"ms/op"
"benchmarks.S.cart_staged_no_init","avgt",1,20,41.890397,0.017775,"ms/op"
"benchmarks.S.cart_staged_with_init","avgt",1,20,69.142638,0.833135,"ms/op"
"benchmarks.S.dotProduct_macro","avgt",1,20,4.260998,0.045549,"ms/op"
"benchmarks.S.dotProduct_staged_init","avgt",1,20,5.697431,0.543593,"ms/op"
"benchmarks.S.dotProduct_staged_init_fresh_compiler","avgt",1,20,36.277389,0.902862,"ms/op"
"benchmarks.S.dotProduct_staged_no_init","avgt",1,20,3.420264,0.016902,"ms/op"
"benchmarks.S.dotProduct_staged_with_init","avgt",1,20,15.079057,0.555203,"ms/op"
"benchmarks.S.flatMap_after_zip_macro","avgt",1,20,29.706745,0.044461,"ms/op"
"benchmarks.S.flatMap_after_zip_staged_init","avgt",1,20,6.276015,0.459597,"ms/op"
"benchmarks.S.flatMap_after_zip_staged_init_fresh_compiler","avgt",1,20,36.888749,0.839484,"ms/op"
"benchmarks.S.flatMap_after_zip_staged_no_init","avgt",1,20,30.061171,0.192040,"ms/op"
"benchmarks.S.flatMap_after_zip_staged_with_init","avgt",1,20,44.579174,0.883176,"ms/op"
"benchmarks.S.flatMap_take_macro","avgt",1,20,12.024514,0.630765,"ms/op"
"benchmarks.S.flatMap_take_staged_init","avgt",1,20,6.648935,0.568426,"ms/op"
"benchmarks.S.flatMap_take_staged_init_fresh_compiler","avgt",1,20,37.932559,0.753993,"ms/op"
"benchmarks.S.flatMap_take_staged_no_init","avgt",1,20,11.672480,0.309049,"ms/op"
"benchmarks.S.flatMap_take_staged_with_init","avgt",1,20,26.089838,0.713989,"ms/op"
"benchmarks.S.sumOfSquaresEven_macro","avgt",1,20,126.452611,0.175089,"ms/op"
"benchmarks.S.sumOfSquaresEven_staged_init","avgt",1,20,5.021610,0.373522,"ms/op"
"benchmarks.S.sumOfSquaresEven_staged_init_fresh_compiler","avgt",1,20,35.988719,1.160931,"ms/op"
"benchmarks.S.sumOfSquaresEven_staged_no_init","avgt",1,20,77.845712,0.212741,"ms/op"
"benchmarks.S.sumOfSquaresEven_staged_with_init","avgt",1,20,92.920968,0.934763,"ms/op"
"benchmarks.S.sumOfSquares_macro","avgt",1,20,37.967917,0.155275,"ms/op"
"benchmarks.S.sumOfSquares_staged_init","avgt",1,20,4.668935,0.392324,"ms/op"
"benchmarks.S.sumOfSquares_staged_init_fresh_compiler","avgt",1,20,36.380976,1.064489,"ms/op"
"benchmarks.S.sumOfSquares_staged_no_init","avgt",1,20,38.060151,0.112770,"ms/op"
"benchmarks.S.sumOfSquares_staged_with_init","avgt",1,20,49.857068,0.552097,"ms/op"
"benchmarks.S.sum_macro","avgt",1,20,35.560726,0.131557,"ms/op"
"benchmarks.S.sum_staged_init","avgt",1,20,4.554524,0.410498,"ms/op"
"benchmarks.S.sum_staged_init_fresh_compiler","avgt",1,20,34.680061,0.493929,"ms/op"
"benchmarks.S.sum_staged_no_init","avgt",1,20,35.571987,0.125186,"ms/op"
"benchmarks.S.sum_staged_with_init","avgt",1,20,46.562479,0.487112,"ms/op"
"benchmarks.S.zip_after_flatMap_macro","avgt",1,20,5.736309,0.040431,"ms/op"
"benchmarks.S.zip_after_flatMap_staged_init","avgt",1,20,6.161815,0.458994,"ms/op"
"benchmarks.S.zip_after_flatMap_staged_init_fresh_compiler","avgt",1,20,39.428542,1.485325,"ms/op"
"benchmarks.S.zip_after_flatMap_staged_no_init","avgt",1,20,5.458762,0.029177,"ms/op"
"benchmarks.S.zip_after_flatMap_staged_with_init","avgt",1,20,19.814861,0.780060,"ms/op"
"benchmarks.S.zip_flat_flat_macro","avgt",1,20,142.539238,0.367772,"ms/op"
"benchmarks.S.zip_flat_flat_staged_init","avgt",1,20,11.638382,1.204427,"ms/op"
"benchmarks.S.zip_flat_flat_staged_init_fresh_compiler","avgt",1,20,47.355988,1.734717,"ms/op"
"benchmarks.S.zip_flat_flat_staged_no_init","avgt",1,20,154.043005,0.813681,"ms/op"
"benchmarks.S.zip_flat_flat_staged_with_init","avgt",1,20,185.109099,1.854141,"ms/op"
